ranking_posicion,CUENTA_ID,SED_ID,LLAVE_ID,MACRO_GIRO,tipo_predicho,probabilidad_final,posterior_fraude,recupero_p10_kwh,recupero_p10_soles,prioridad,nivel_sospecha,alta_incertidumbre,datos_insuficientes,sin_servicio,caida_pct,factor_uso,desv_sed,anomaly_score,firma_fraude,señal_vecindario,caida_vs_sed,desacople_sed,cons_anual,ratio_meses_activos,POTENCIA_CONTRATADA,meses_cero_finales,meses_activos,kwhd_promedio
1,SUM_007851,SED_1538,LLAVE_08,POT_ALTA,MANIPULACIÓN,0.9155076602788146,0.01895129477444738,6957.855979261882,4640.889938167676,4248.770288903381,CRÍTICO,False,False,False,0.9631313398906349,0.32874103942652333,551.1117119349803,0.8005630424144509,0.9538225329002691,0.9147013577687111,0.7284145982275647,0.6417579768256211,47154.0,0.75,11.1,0,9,87.15963542068032
2,SUM_001565,SED_1538,LLAVE_05,POT_MEDIA,CLANDESTINA,0.5827124658378553,0.002531645567879608,10896.590965251433,7268.026173822706,4235.169453522302,ALTO,False,False,False,1.0,0.0,1.5283686733914128,0.510043560240202,0.6069354343704063,0.9434051234031168,0.7600312833077107,1.1954270292300493,145.0,0.4166666666666667,5.1,7,5,0.3981478814644137
3,SUM_011487,SED_0515,LLAVE_16,POT_ALTA,CLANDESTINA,0.5533494091581518,0.002531645567879608,10724.089101415735,7152.967430644296,3958.090301474524,ALTO,False,False,False,1.0,0.0015572817661659547,-0.39702826448729595,0.4003339455884664,0.6043545636813802,0.9368202795799612,0.8618401070110329,0.6911589562035605,141.0,0.6666666666666666,11.1,4,8,0.3093571925808031
4,SUM_009931,SED_0515,LLAVE_05,POT_ALTA,CLANDESTINA,0.5532144281646768,0.002531645567879608,10676.205380484887,7121.028988783421,3939.455979973907,ALTO,False,False,False,1.0,0.0002296146953405018,-0.23595526796078573,0.39979402161456645,0.6043545636813802,0.95596281185205,0.8618401070110329,1.1431048087841005,142.0,0.5833333333333334,12.0,4,7,0.39226350486431133
5,SUM_005240,SED_1019,LLAVE_08,POT_MEDIA,CLANDESTINA,0.676005675512628,0.011162718434674463,8631.953132551876,5757.512739412102,3892.111288678839,MUY ALTO,True,False,False,0.6922473579920739,0.021650326797385624,0.5413844525198118,0.3390077320686469,0.7883383233272883,0.8606180188616146,0.39952745124568745,0.4560400303865186,797.0,0.8333333333333334,5.1,2,10,2.189184107782898
6,SUM_002297,SED_0974,LLAVE_16,POT_ALTA,MANIPULACIÓN,0.9415718440110011,0.034404233520358464,6136.693658813418,4093.1746704285497,3854.0180222945314,CRÍTICO,False,False,False,-1.082069017938583,0.27089680406212663,18.44420595151175,0.7662873760440045,1.0,0.3098923148953247,-0.6445859704293174,0.5980241520859298,22082.0,0.75,12.0,0,9,55.031523326583816
7,SUM_006050,SED_0090,LLAVE_08,POT_ALTA,CLANDESTINA,0.5474245680044628,0.002531645567879608,10484.06335133136,6992.870255338018,3828.068978639672,ALTO,False,False,False,1.0,0.001775568181818182,-0.8965081642078645,0.37663458097371044,0.6043545636813802,0.8990903618487058,0.697619140690372,0.49354726805101407,145.0,0.75,12.1,3,9,0.40121130510973385
8,SUM_019051,SED_2738,LLAVE_08,POT_ALTA,CLANDESTINA,0.5527456203480631,0.002531645567879608,10168.318891350109,6782.268700530523,3748.869320241996,ALTO,False,False,False,1.0,0.0002502502502502503,-0.23641189183262964,0.3979187903481117,0.6043545636813802,0.9491873453280717,0.848028783811887,1.0636856991870298,401.0,0.5833333333333334,11.1,5,7,1.0956037186379928
9,SUM_018243,SED_1207,LLAVE_08,POT_ALTA,CLANDESTINA,0.6035228830533502,0.002531645567879608,9153.2253071294,6105.20127985531,3684.62867803928,ALTO,False,False,False,0.0,0.0,2.005505390887321,0.45475282780298937,0.6531129014701372,0.6360176576817603,0.0,1.4985183844316181,175.0,0.25,12.0,4,3,0.48252688172043007
10,SUM_016339,SED_2661,LLAVE_16,POT_ALTA,MANIPULACIÓN,0.9073380318510467,0.01895129477444738,6037.459382261938,4026.985407968713,3653.837014359216,CRÍTICO,False,False,False,0.4520447663038489,0.3263702210274791,32.709450686504326,0.7678845287033794,0.9538225329002691,0.7948699083673332,0.15689152275210366,0.6517099453572313,37441.0,0.6666666666666666,12.0,1,8,68.57629777288362
